image,n_patches,largest_patch,patch_50+_pix,n_features,mean_patch_size,std_patch_size,mean_displ_X,mean_displ_Y,std_displ_X,std_displ_Y
outputs/tmp_0005_median.npy,20,26.0,0,769,2.0234070221066318,2.4070709322378829,0.35416666666666669,1.0201822916666656,0.88079061988481711,297.14970415006036
outputs/tmp_0006_median.npy,10,17.0,0,628,1.5907643312101911,1.3578190837535922,0.43700159489633172,1.21531100478469,0.96476481994785268,327.78804522219798
outputs/tmp_0007_median.npy,25,43.0,0,1150,2.2747826086956522,3.0330310131375287,0.23759791122715404,0.66144473455178332,1.5461457007864514,284.23048752370397
outputs/tmp_0008_median.npy,12,42.0,0,588,1.6445578231292517,2.1399633575896932,0.45996592844974449,0.71720613287904711,1.0583636907324216,336.10818867090558
outputs/tmp_0009_median.npy,14,40.0,0,705,1.8794326241134751,2.2787179962543407,0.38352272727272729,0.93465909090908994,1.1711648201831157,293.33050548260655
outputs/tmp_0010_median.npy,23,32.0,0,920,2.6043478260869564,3.2630977894272246,0.29597388465723612,0.85310119695320941,1.6038697562552371,262.80436392515867
outputs/tmp_0011_median.npy,24,93.0,1,1122,2.5508021390374331,4.1284634655667585,0.24234314600059473,0.75884626821290546,1.7088322518881744,240.58595875160077
outputs/tmp_0012_median.npy,26,45.0,0,969,2.5128998968008256,3.8757919729035937,0.24483471074380164,0.35227272727272751,1.4717426870146826,287.90075069448648
outputs/tmp_0013_median.npy,15,164.0,1,809,2.0333745364647715,6.1467527768949939,0.29455445544554454,0.88242574257426043,1.0884846465432061,315.28160251773289
outputs/tmp_0014_median.npy,20,25.0,0,1005,2.2019900497512439,2.5364989425334148,0.27191235059760954,0.46663346613545997,1.6816065860881357,292.25313951780089
outputs/tmp_0015_median.npy,12,31.0,0,869,1.8342922899884926,1.9003173648574494,0.31451612903225806,1.0138248847926268,1.1800108374899836,292.48215519270326
outputs/tmp_0016_median.npy,11,15.0,0,538,1.4609665427509293,1.2757972195255067,0.51024208566108009,0.83240223463687169,1.1565765808216861,318.87127176547227
outputs/tmp_0017_median.npy,10,11.0,0,607,1.4563426688632619,1.0895588641704417,0.45049504950495051,1.460396039603961,1.0294923181787781,333.25336742041708
outputs/tmp_0018_median.npy,16,19.0,0,733,1.8908594815825375,1.995653106458809,0.3702185792349727,1.0696721311475417,1.1704587106045881,301.55488371454152
outputs/tmp_0019_median.npy,13,21.0,0,638,1.7601880877742946,1.7029886956578277,0.42935635792778648,1.2543171114599667,1.2176819651410546,342.85441255493788
outputs/tmp_0020_median.npy,10,32.0,0,446,1.553811659192825,1.8631477536609078,0.61348314606741572,-0.24382022471910139,1.3321037208282334,341.99243695720054
outputs/tmp_0021_median.npy,10,13.0,0,491,1.4989816700610998,1.2447441363753418,0.5591836734693878,0.57755102040816331,1.0682779197896122,310.18110137909451
outputs/tmp_0022_median.npy,8,9.0,0,541,1.4935304990757856,1.0436210216693491,0.50740740740740742,0.84259259259259323,0.95905906492082738,336.79707033772047
